Brand;Stock Price;Country;Found Data;Cod
Педагогика и психология;110;249;3;B001
Дошкольное обучение и воспитание;1036;115;1;B002
Педагогика и методика начального обучения;684;452;1;B003
Подготовка учителей начальной военной подготовки;20;445;22;B004
Подготовка учителей физической культуры;300;3108;10;B005
Подготовка учителей музыки;20;324;16;B006
Подготовка учителей художественного труда и черчения;20;495;25;B007
Подготовка учителей математики;540;1508;3;B009
Подготовка учителей физики;750;685;1;B010
Подготовка учителей информатики;565;140;1;B011
Подготовка учителей химии;750;892;1;B012
Подготовка учителей биологии;740;558;1;B013
Подготовка учителей географии;130;164;1;B014
Подготовка учителей по гуманитарным предметам;275;263;1;B015
Подготовка учителей казахского языка и литературы;265;990;4;B016
Подготовка учителей русского языка и литературы;350;577;2;B017
Подготовка учителей иностранного языка;855;2250;3;B018
Подготовка специалистов по социальной педагогике и самопознанию;260;67;1;B019
Специальная педагогика;320;269;1;B020
Исполнительское искусство;10;39;4;B021
Композиция;10;0;0;B026
Театральное искусство;30;113;4;B027
Хореография;25;161;7;B028
Аудиовизуальные средства и медиа производство;80;103;1;B029
Изобразительное искусство;40;32;1;B030
дизайн;165;1180;7;B031
Философия и этика;110;102;1;B032
Религия и теология;260;645;3;B033
История и археология;135;275;2;B034
Тюркология и востоковедение;100;191;1;B035
Переводческое дело;290;1319;5;B036
Филология;100;791;8;B037
Социология;100;86;1;B038
Культурология;30;17;1;B039
Политология;80;175;2;B040
Психология;290;1028;4;B041
Журналистика и репортерское дело;160;1287;8;B042
Библиотечное дело, обработка информации и архивное дело;30;95;3;B043
Менеджмент и управление;275;1978;7;B044
Аудит и налогообложение;140;576;4;B045
 экономика и банковское и страховое дело;294;1535;5;B046
Маркетинг и реклама;85;302;4;B047
Трудовые навыки;20;21;1;B048
Право;100;960;10;B049
Биологические и смежные науки;630;1031;2;B050
Окружающая среда;290;785;3;B051
Наука о земле;440;184;1;B052
Химия;665;534;1;B053
Физика;847;549;1;B054
Математика и статистика;590;1093;2;B055
Механика;250;41;1;B056
Информационные технологии;3318;7257;2;B057
Информационная безопасность;800;1130;2;B058
Коммуникации и коммуникационные технологии;700;522;1;B059
Химическая инженерия и процессы;650;182;1;B060
Материаловедение и технологии;195;41;1;B061
Электротехника и энергетика;2075;1533;1;B062
Электротехника и автоматизация;720;960;1;B063
Механика и металлообработка;1820;699;1;B064
Автотранспортные средства;650;340;1;B065
Морской транспорт и технологии;110;45;1;B066
Воздушный транспорт и технологии;290;382;1;B067
Производство продуктов питания;910;678;1;B068
Производство материалов (стекло, бумага, пластик, дерево);200;21;1;B069
Текстиль;700;137;1;B070
Горное дело и добыча полезных ископаемых;1952;1105;1;B071
Технология фармацевтического производства;770;658;1;B072
Архитектура;350;952;1;B073
Градостроительство, строительные работы и гражданское строительство;2850;2240;1;B074
Кадастр и землеустройство;310;371;1;B075
Стандартизация, сертификация и метрология (по отраслям);380;279;1;B076
Растениеводство;270;217;1;B077
Животноводство;160;61;1;B078
Лесное хозяйство;192;233;1;B079
Рыбное хозяйство;120;21;1;B080
Водные ресурсы и водопользования;180;63;1;B082
Ветеринария;722;364;1;B083
Сестринское дело;25;59;3;B084
Фармация;62;378;6;B085
Общая медицина;2147;4040;2;B086
Стоматология;20;403;20;B087
Педиатрия;150;96;1;B088
Общественное здравоохранение;100;258;3;B089
Социальная работа;127;285;2;B090
Туризм;450;1177;3;B091
Досуг;200;427;2;B092
Ресторанное дело и гостиничный бизнес;330;651;2;B093
Санитарно-профилактические мероприятия;450;275;1;B094
Транспортные услуги;350;494;2;B095
Международные отношения и дипломатия;94;672;7;B140
Теплоэнергетика;0;0;0;B162
Летная эксплуатация летательных аппаратов и двигателей;90;63;1;B167
Металлургия;0;0;0;B171
Агроинженерия;290;97;1;B183
Нефтегазовое дело;0;0;0;B271
Прикладная математика;4;2;1;38047
Информатика и вычислительная техника;12;4;1;38055
Испытание летательных аппаратов;25;11;1;37765
Менеджмент;4;2;1;38.03.02
